rent_id,agreement_date,rent_start_date,rent_end_date,terms
280,8/28/2023,9/27/2023,2/13/2026,Lease agreement for Villa in FL for 29 months. Condition: Good.
281,12/17/2024,1/8/2025,5/3/2026,Lease agreement for Apartment in FL for 16 months. Condition: Fair.
282,11/11/2024,11/30/2024,10/16/2027,Lease agreement for Apartment in CA for 35 months. Condition: Good.
283,7/6/2022,7/18/2022,6/13/2023,Lease agreement for Villa in TX for 11 months. Condition: Good.
284,9/4/2024,9/5/2024,11/29/2025,Lease agreement for House in CA for 15 months. Condition: Fair.
285,1/21/2023,1/30/2023,4/19/2025,Lease agreement for Villa in NY for 27 months. Condition: Good.
286,8/30/2024,8/31/2024,4/18/2027,Lease agreement for Office in NY for 32 months. Condition: Good.
287,3/31/2024,4/19/2024,9/6/2026,Lease agreement for Apartment in TX for 29 months. Condition: Good.
288,8/27/2024,9/16/2024,6/8/2026,Lease agreement for Apartment in CA for 21 months. Condition: Good.
289,9/5/2024,9/22/2024,1/10/2027,Lease agreement for House in CA for 28 months. Condition: Good.
290,6/20/2024,7/7/2024,8/1/2025,Lease agreement for Studio in FL for 13 months. Condition: Fair.
291,10/4/2021,10/20/2021,2/7/2024,Lease agreement for House in NY for 28 months. Condition: Fair.
292,7/21/2022,7/27/2022,10/20/2023,Lease agreement for Apartment in NY for 15 months. Condition: Fair.
293,2/28/2021,3/21/2021,7/14/2022,Lease agreement for House in TX for 16 months. Condition: Good.
294,4/5/2024,5/1/2024,9/18/2026,Lease agreement for Studio in FL for 29 months. Condition: Good.
295,12/2/2023,12/8/2023,6/25/2026,Lease agreement for House in NY for 31 months. Condition: Good.
296,11/14/2024,12/9/2024,11/29/2026,Lease agreement for Villa in IL for 24 months. Condition: Good.
297,6/22/2020,7/11/2020,6/6/2021,Lease agreement for Villa in NY for 11 months. Condition: Good.
298,5/2/2023,5/11/2023,4/30/2025,Lease agreement for House in IL for 24 months. Condition: Good.
299,6/2/2024,6/6/2024,2/1/2025,Lease agreement for Villa in FL for 8 months. Condition: Good.
300,11/28/2024,12/26/2024,5/20/2026,Lease agreement for Studio in CA for 17 months. Condition: Good.
301,4/28/2023,5/21/2023,3/11/2025,Lease agreement for Studio in FL for 22 months. Condition: Good.
302,7/2/2022,7/22/2022,7/11/2024,Lease agreement for Studio in CA for 24 months. Condition: Poor.
303,5/28/2024,5/29/2024,2/23/2025,Lease agreement for Studio in CA for 9 months. Condition: Good.
304,7/8/2024,8/6/2024,7/22/2027,Lease agreement for Apartment in TX for 36 months. Condition: Good.
305,12/21/2024,1/6/2025,3/27/2027,Lease agreement for Villa in IL for 27 months. Condition: Good.
306,12/30/2024,1/8/2025,12/29/2026,Lease agreement for Villa in NY for 24 months. Condition: Good.
307,7/31/2024,8/18/2024,10/12/2025,Lease agreement for Apartment in NY for 14 months. Condition: Good.
308,11/13/2023,12/4/2023,10/29/2024,Lease agreement for House in CA for 11 months. Condition: Fair.
309,4/16/2023,5/16/2023,4/10/2024,Lease agreement for Office in TX for 11 months. Condition: Fair.
310,3/2/2024,3/26/2024,5/15/2026,Lease agreement for Villa in FL for 26 months. Condition: Good.
311,12/22/2024,1/14/2025,5/4/2027,Lease agreement for Apartment in NY for 28 months. Condition: Fair.
312,7/31/2023,8/12/2023,3/4/2025,Lease agreement for Office in NY for 19 months. Condition: Poor.
313,2/9/2023,2/24/2023,9/22/2023,Lease agreement for House in IL for 7 months. Condition: Good.
314,11/10/2022,11/23/2022,11/12/2024,Lease agreement for Studio in TX for 24 months. Condition: Fair.
315,3/8/2024,3/11/2024,7/29/2026,Lease agreement for Studio in TX for 29 months. Condition: Fair.
316,4/14/2022,5/12/2022,12/8/2022,Lease agreement for Villa in TX for 7 months. Condition: Fair.
317,11/22/2023,12/2/2023,10/27/2024,Lease agreement for Studio in NY for 11 months. Condition: Good.
318,12/30/2023,1/2/2024,12/22/2025,Lease agreement for Studio in IL for 24 months. Condition: Poor.
319,9/26/2024,10/6/2024,4/4/2025,Lease agreement for House in CA for 6 months. Condition: Good.
320,9/16/2023,9/23/2023,10/12/2025,Lease agreement for Studio in FL for 25 months. Condition: Fair.
321,12/30/2022,1/24/2023,3/19/2024,Lease agreement for Studio in CA for 14 months. Condition: Poor.
322,3/19/2021,4/4/2021,5/29/2022,Lease agreement for Villa in IL for 14 months. Condition: Good.
323,4/25/2024,5/7/2024,1/2/2025,Lease agreement for Studio in TX for 8 months. Condition: Good.
324,6/22/2022,6/28/2022,5/13/2025,Lease agreement for House in IL for 35 months. Condition: Good.
325,8/27/2024,9/23/2024,5/11/2027,Lease agreement for Apartment in NY for 32 months. Condition: Fair.
326,12/30/2024,1/15/2025,6/9/2026,Lease agreement for Villa in IL for 17 months. Condition: Good.
327,9/10/2024,9/17/2024,5/10/2026,Lease agreement for Office in FL for 20 months. Condition: Good.
328,6/6/2023,7/4/2023,4/29/2024,Lease agreement for Office in TX for 10 months. Condition: Fair.
329,10/24/2022,11/20/2022,10/10/2024,Lease agreement for Studio in CA for 23 months. Condition: Good.
330,7/16/2024,7/30/2024,5/16/2027,Lease agreement for Villa in CA for 34 months. Condition: Good.
331,5/21/2022,5/24/2022,10/16/2023,Lease agreement for Villa in CA for 17 months. Condition: Fair.
332,11/24/2024,12/21/2024,2/9/2027,Lease agreement for Office in IL for 26 months. Condition: Good.
333,8/11/2024,8/23/2024,1/15/2026,Lease agreement for House in TX for 17 months. Condition: Fair.
334,10/31/2024,11/27/2024,1/21/2026,Lease agreement for Villa in TX for 14 months. Condition: Good.
335,8/12/2024,8/13/2024,7/29/2027,Lease agreement for Villa in TX for 36 months. Condition: Good.
336,1/31/2023,2/12/2023,1/2/2025,Lease agreement for Apartment in NY for 23 months. Condition: Good.
337,11/5/2024,11/16/2024,5/15/2025,Lease agreement for Office in IL for 6 months. Condition: Good.
338,9/26/2023,10/6/2023,12/24/2025,Lease agreement for Office in NY for 27 months. Condition: Fair.
339,6/9/2024,6/18/2024,9/11/2025,Lease agreement for Apartment in TX for 15 months. Condition: Good.
340,11/15/2024,12/10/2024,8/7/2025,Lease agreement for Office in FL for 8 months. Condition: Fair.
341,12/28/2024,1/8/2025,9/30/2026,Lease agreement for Villa in TX for 21 months. Condition: Good.
342,9/15/2022,9/19/2022,11/13/2023,Lease agreement for Apartment in FL for 14 months. Condition: Good.
343,8/23/2024,9/13/2024,8/29/2027,Lease agreement for Villa in TX for 36 months. Condition: Good.
344,3/8/2024,4/6/2024,11/27/2025,Lease agreement for Office in NY for 20 months. Condition: Fair.
345,3/8/2024,3/28/2024,2/16/2026,Lease agreement for Studio in IL for 23 months. Condition: Good.
346,3/4/2021,3/25/2021,9/16/2022,Lease agreement for Studio in IL for 18 months. Condition: Good.
347,12/22/2024,1/4/2025,6/23/2027,Lease agreement for Apartment in CA for 30 months. Condition: Good.
348,4/23/2024,5/20/2024,1/15/2025,Lease agreement for Apartment in NY for 8 months. Condition: Fair.
349,5/26/2024,6/8/2024,8/2/2025,Lease agreement for Studio in FL for 14 months. Condition: Fair.
350,5/8/2023,6/7/2023,4/2/2024,Lease agreement for Office in TX for 10 months. Condition: Fair.
351,11/2/2021,11/8/2021,7/1/2023,Lease agreement for Office in NY for 20 months. Condition: Fair.
352,10/15/2024,11/8/2024,9/29/2026,Lease agreement for Villa in NY for 23 months. Condition: Good.
353,6/5/2024,7/4/2024,5/25/2026,Lease agreement for Office in NY for 23 months. Condition: Good.
354,9/3/2021,10/3/2021,2/20/2024,Lease agreement for House in NY for 29 months. Condition: Good.
355,4/19/2024,5/1/2024,4/16/2027,Lease agreement for Villa in FL for 36 months. Condition: Poor.
356,5/18/2023,5/26/2023,3/11/2026,Lease agreement for House in IL for 34 months. Condition: Good.
357,3/2/2024,3/14/2024,1/8/2025,Lease agreement for Office in CA for 10 months. Condition: Poor.
358,4/24/2023,5/6/2023,2/19/2026,Lease agreement for Office in IL for 34 months. Condition: Good.
359,8/24/2023,9/13/2023,8/8/2024,Lease agreement for Office in TX for 11 months. Condition: Good.
360,8/7/2022,8/27/2022,9/21/2023,Lease agreement for Apartment in FL for 13 months. Condition: Fair.
361,11/22/2024,12/15/2024,11/30/2027,Lease agreement for Office in NY for 36 months. Condition: Poor.
362,9/14/2022,10/7/2022,8/3/2023,Lease agreement for Office in TX for 10 months. Condition: Fair.
363,12/25/2023,1/14/2024,6/7/2025,Lease agreement for Villa in TX for 17 months. Condition: Good.
364,9/23/2024,10/17/2024,1/10/2026,Lease agreement for Apartment in TX for 15 months. Condition: Poor.
365,10/10/2024,10/18/2024,10/13/2025,Lease agreement for Office in IL for 12 months. Condition: Poor.
366,4/15/2024,5/2/2024,11/18/2026,Lease agreement for Office in IL for 31 months. Condition: Good.
367,10/17/2024,10/25/2024,5/18/2026,Lease agreement for Villa in TX for 19 months. Condition: Good.
368,11/17/2024,12/1/2024,5/20/2027,Lease agreement for Villa in IL for 30 months. Condition: Good.
369,7/13/2023,8/3/2023,10/21/2025,Lease agreement for House in FL for 27 months. Condition: Good.
370,9/17/2021,10/9/2021,3/27/2024,Lease agreement for Villa in TX for 30 months. Condition: Fair.
371,7/30/2024,8/23/2024,1/10/2027,Lease agreement for House in FL for 29 months. Condition: Good.
372,12/5/2023,12/28/2023,2/15/2026,Lease agreement for Villa in IL for 26 months. Condition: Poor.
373,11/11/2023,11/14/2023,4/2/2026,Lease agreement for Studio in TX for 29 months. Condition: Poor.
374,8/27/2022,9/4/2022,4/21/2025,Lease agreement for House in NY for 32 months. Condition: Fair.
375,11/28/2023,12/6/2023,12/30/2024,Lease agreement for Office in CA for 13 months. Condition: Fair.
376,4/28/2024,5/16/2024,3/12/2025,Lease agreement for House in CA for 10 months. Condition: Good.
377,7/27/2024,8/11/2024,11/4/2025,Lease agreement for House in CA for 15 months. Condition: Good.
378,5/28/2024,5/31/2024,5/21/2026,Lease agreement for Apartment in NY for 24 months. Condition: Good.
379,6/25/2023,7/8/2023,8/26/2025,Lease agreement for Studio in TX for 26 months. Condition: Fair.
380,10/12/2024,10/30/2024,10/20/2026,Lease agreement for Apartment in FL for 24 months. Condition: Good.
381,5/26/2023,6/15/2023,7/4/2025,Lease agreement for Studio in TX for 25 months. Condition: Good.
382,8/27/2024,9/23/2024,8/9/2027,Lease agreement for Apartment in FL for 35 months. Condition: Fair.
383,1/16/2024,2/13/2024,7/2/2026,Lease agreement for Office in TX for 29 months. Condition: Fair.
384,8/29/2024,9/26/2024,6/18/2026,Lease agreement for Office in TX for 21 months. Condition: Good.
385,2/17/2024,2/27/2024,10/24/2024,Lease agreement for Villa in FL for 8 months. Condition: Good.
386,3/12/2024,4/3/2024,11/24/2025,Lease agreement for Villa in IL for 20 months. Condition: Good.
387,12/28/2024,1/23/2025,5/13/2027,Lease agreement for Apartment in IL for 28 months. Condition: Good.
388,2/27/2024,3/18/2024,2/11/2025,Lease agreement for Villa in FL for 11 months. Condition: Fair.
389,12/7/2024,12/31/2024,6/29/2025,Lease agreement for Office in CA for 6 months. Condition: Good.
390,12/3/2021,12/18/2021,9/3/2024,Lease agreement for Office in NY for 33 months. Condition: Good.
391,8/11/2024,8/22/2024,7/13/2026,Lease agreement for Apartment in IL for 23 months. Condition: Good.
392,7/4/2022,7/12/2022,1/8/2023,Lease agreement for Office in FL for 6 months. Condition: Good.
393,12/10/2024,12/30/2024,7/23/2026,Lease agreement for House in CA for 19 months. Condition: Poor.
394,12/2/2021,12/17/2021,3/12/2023,Lease agreement for Studio in IL for 15 months. Condition: Poor.
395,12/15/2022,1/1/2023,6/19/2025,Lease agreement for Studio in IL for 30 months. Condition: Good.
396,12/6/2023,1/1/2024,1/20/2026,Lease agreement for Villa in FL for 25 months. Condition: Fair.
397,1/14/2024,1/22/2024,6/10/2026,Lease agreement for Villa in IL for 29 months. Condition: Fair.
398,8/19/2024,8/31/2024,2/27/2025,Lease agreement for Studio in FL for 6 months. Condition: Good.
399,7/13/2022,8/5/2022,9/29/2023,Lease agreement for Office in NY for 14 months. Condition: Fair.
400,11/8/2022,11/20/2022,4/8/2025,Lease agreement for Villa in CA for 29 months. Condition: Good.
401,9/9/2023,10/5/2023,4/2/2024,Lease agreement for Apartment in IL for 6 months. Condition: Good.
402,6/7/2021,6/28/2021,4/19/2023,Lease agreement for Villa in TX for 22 months. Condition: Good.
403,8/19/2023,8/28/2023,9/21/2024,Lease agreement for House in FL for 13 months. Condition: Poor.
404,8/28/2024,9/6/2024,6/28/2026,Lease agreement for Studio in IL for 22 months. Condition: Poor.
405,6/1/2024,6/18/2024,3/15/2025,Lease agreement for House in FL for 9 months. Condition: Good.
406,11/3/2024,11/13/2024,9/4/2026,Lease agreement for House in IL for 22 months. Condition: Good.
407,12/20/2024,1/13/2025,11/29/2027,Lease agreement for Villa in IL for 35 months. Condition: Fair.
408,9/3/2021,9/28/2021,12/22/2022,Lease agreement for Office in IL for 15 months. Condition: Good.
409,11/28/2020,12/11/2020,3/6/2022,Lease agreement for Office in CA for 15 months. Condition: Fair.
410,7/17/2024,8/1/2024,3/19/2027,Lease agreement for Villa in CA for 32 months. Condition: Fair.
411,4/22/2022,5/5/2022,7/23/2024,Lease agreement for Apartment in FL for 27 months. Condition: Good.
412,12/8/2024,12/29/2024,4/23/2026,Lease agreement for House in CA for 16 months. Condition: Good.
413,4/28/2024,5/11/2024,4/1/2026,Lease agreement for Apartment in IL for 23 months. Condition: Good.
414,5/4/2024,5/28/2024,12/19/2025,Lease agreement for Office in IL for 19 months. Condition: Good.
415,8/9/2024,8/31/2024,12/24/2025,Lease agreement for Studio in CA for 16 months. Condition: Fair.
416,6/19/2024,7/11/2024,5/2/2026,Lease agreement for House in IL for 22 months. Condition: Good.
417,1/8/2024,1/26/2024,2/19/2025,Lease agreement for House in NY for 13 months. Condition: Fair.
418,6/17/2024,7/2/2024,6/17/2027,Lease agreement for Villa in IL for 36 months. Condition: Good.
419,8/26/2024,9/17/2024,5/10/2026,Lease agreement for House in FL for 20 months. Condition: Fair.
420,11/23/2024,12/3/2024,9/29/2025,Lease agreement for Studio in NY for 10 months. Condition: Good.
421,4/6/2024,4/13/2024,2/7/2025,Lease agreement for Office in CA for 10 months. Condition: Good.
422,6/29/2023,6/30/2023,12/16/2025,Lease agreement for House in FL for 30 months. Condition: Good.
423,1/28/2024,2/12/2024,10/29/2026,Lease agreement for Apartment in TX for 33 months. Condition: Good.
424,1/2/2022,1/8/2022,10/5/2022,Lease agreement for Office in NY for 9 months. Condition: Fair.
425,12/30/2023,1/19/2024,1/3/2027,Lease agreement for Studio in FL for 36 months. Condition: Good.
426,11/15/2024,12/8/2024,10/29/2026,Lease agreement for Office in TX for 23 months. Condition: Good.
427,1/16/2024,1/23/2024,6/16/2025,Lease agreement for Studio in NY for 17 months. Condition: Good.
428,7/1/2024,7/15/2024,6/5/2026,Lease agreement for Studio in TX for 23 months. Condition: Good.
429,3/1/2024,3/30/2024,8/22/2025,Lease agreement for Villa in CA for 17 months. Condition: Good.
430,10/27/2020,11/23/2020,3/18/2022,Lease agreement for Studio in CA for 16 months. Condition: Good.
431,4/30/2023,5/10/2023,10/1/2024,Lease agreement for Villa in NY for 17 months. Condition: Poor.
432,4/15/2023,5/12/2023,3/7/2024,Lease agreement for Office in CA for 10 months. Condition: Fair.
433,12/26/2024,12/27/2024,4/16/2027,Lease agreement for Villa in CA for 28 months. Condition: Fair.
434,2/2/2023,2/20/2023,8/8/2025,Lease agreement for House in IL for 30 months. Condition: Fair.
435,11/24/2024,12/8/2024,2/26/2027,Lease agreement for Apartment in CA for 27 months. Condition: Fair.
436,11/26/2024,12/6/2024,10/2/2025,Lease agreement for Office in NY for 10 months. Condition: Good.
437,8/27/2024,9/11/2024,9/6/2025,Lease agreement for Studio in NY for 12 months. Condition: Good.
438,9/20/2024,9/26/2024,5/24/2025,Lease agreement for Studio in FL for 8 months. Condition: Good.
439,4/8/2022,4/16/2022,10/8/2023,Lease agreement for Villa in CA for 18 months. Condition: Poor.
440,3/22/2024,4/2/2024,10/19/2026,Lease agreement for Apartment in TX for 31 months. Condition: Good.
441,12/25/2023,1/8/2024,12/28/2025,Lease agreement for House in IL for 24 months. Condition: Good.
442,12/11/2024,12/12/2024,11/2/2026,Lease agreement for Villa in IL for 23 months. Condition: Good.
443,12/5/2024,12/14/2024,3/4/2027,Lease agreement for Villa in TX for 27 months. Condition: Good.
444,9/28/2024,10/6/2024,2/23/2027,Lease agreement for Office in NY for 29 months. Condition: Poor.
445,7/25/2020,8/21/2020,11/9/2022,Lease agreement for House in IL for 27 months. Condition: Poor.
446,2/4/2024,2/14/2024,12/5/2025,Lease agreement for Studio in IL for 22 months. Condition: Fair.
447,9/17/2023,9/23/2023,4/15/2025,Lease agreement for Office in CA for 19 months. Condition: Good.
448,1/9/2024,2/6/2024,12/2/2024,Lease agreement for Office in CA for 10 months. Condition: Fair.
449,8/30/2024,9/27/2024,7/24/2025,Lease agreement for Studio in IL for 10 months. Condition: Fair.
450,8/10/2023,8/19/2023,12/6/2025,Lease agreement for House in TX for 28 months. Condition: Good.
451,12/14/2024,12/27/2024,7/20/2026,Lease agreement for Office in IL for 19 months. Condition: Fair.
452,7/25/2023,8/12/2023,3/9/2024,Lease agreement for Villa in IL for 7 months. Condition: Fair.
453,11/3/2021,11/15/2021,5/14/2022,Lease agreement for Office in TX for 6 months. Condition: Poor.
454,8/19/2020,8/26/2020,9/15/2022,Lease agreement for Villa in NY for 25 months. Condition: Good.
455,9/13/2021,10/2/2021,7/29/2022,Lease agreement for Villa in CA for 10 months. Condition: Good.
456,4/19/2022,4/28/2022,12/13/2024,Lease agreement for House in TX for 32 months. Condition: Fair.
457,10/24/2023,10/26/2023,11/14/2025,Lease agreement for Office in CA for 25 months. Condition: Good.
458,7/3/2023,7/30/2023,6/14/2026,Lease agreement for Studio in TX for 35 months. Condition: Good.
459,12/29/2024,1/12/2025,8/30/2027,Lease agreement for Office in FL for 32 months. Condition: Good.
460,12/25/2022,1/9/2023,7/2/2024,Lease agreement for Villa in CA for 18 months. Condition: Good.
461,9/2/2024,9/15/2024,1/8/2026,Lease agreement for Apartment in CA for 16 months. Condition: Fair.
462,9/12/2024,9/23/2024,9/13/2026,Lease agreement for House in NY for 24 months. Condition: Good.
463,2/10/2024,3/3/2024,3/28/2025,Lease agreement for Studio in CA for 13 months. Condition: Good.
464,7/2/2024,7/4/2024,10/22/2026,Lease agreement for House in NY for 28 months. Condition: Fair.
465,3/4/2023,3/25/2023,6/17/2024,Lease agreement for Studio in CA for 15 months. Condition: Good.
466,11/2/2024,11/10/2024,9/6/2025,Lease agreement for Apartment in TX for 10 months. Condition: Good.
467,9/26/2020,10/9/2020,9/24/2023,Lease agreement for House in CA for 36 months. Condition: Good.
468,3/19/2024,3/26/2024,12/11/2026,Lease agreement for Villa in NY for 33 months. Condition: Good.
469,11/22/2024,12/19/2024,11/4/2027,Lease agreement for Villa in FL for 35 months. Condition: Good.
470,2/4/2023,2/11/2023,7/5/2024,Lease agreement for Villa in NY for 17 months. Condition: Good.
471,6/13/2021,6/16/2021,3/2/2024,Lease agreement for Villa in CA for 33 months. Condition: Good.
472,1/8/2023,1/27/2023,11/23/2023,Lease agreement for House in NY for 10 months. Condition: Good.
473,7/30/2023,8/12/2023,3/29/2026,Lease agreement for Villa in TX for 32 months. Condition: Good.
474,11/14/2024,11/20/2024,10/16/2025,Lease agreement for Studio in TX for 11 months. Condition: Good.
475,8/13/2023,9/12/2023,3/10/2024,Lease agreement for Studio in CA for 6 months. Condition: Good.
476,12/16/2022,12/18/2022,1/6/2025,Lease agreement for Villa in FL for 25 months. Condition: Good.
477,6/9/2022,6/10/2022,5/30/2024,Lease agreement for Studio in NY for 24 months. Condition: Fair.
478,5/12/2024,5/17/2024,3/8/2026,Lease agreement for Office in IL for 22 months. Condition: Fair.
479,7/30/2022,8/7/2022,5/23/2025,Lease agreement for Office in FL for 34 months. Condition: Poor.
480,6/2/2024,6/19/2024,7/9/2026,Lease agreement for Studio in IL for 25 months. Condition: Good.
481,3/14/2023,3/26/2023,4/19/2024,Lease agreement for Apartment in CA for 13 months. Condition: Fair.
482,12/28/2024,1/3/2025,12/29/2025,Lease agreement for Apartment in NY for 12 months. Condition: Fair.
483,12/10/2024,1/3/2025,4/28/2026,Lease agreement for Apartment in NY for 16 months. Condition: Poor.
484,12/23/2024,12/25/2024,2/18/2026,Lease agreement for Office in TX for 14 months. Condition: Fair.
485,2/15/2024,2/17/2024,8/5/2026,Lease agreement for Studio in NY for 30 months. Condition: Fair.
486,7/25/2023,8/3/2023,8/22/2025,Lease agreement for Studio in IL for 25 months. Condition: Fair.
487,5/3/2024,5/17/2024,12/8/2025,Lease agreement for Villa in FL for 19 months. Condition: Good.
488,9/5/2022,9/20/2022,8/16/2023,Lease agreement for Apartment in FL for 11 months. Condition: Good.
489,10/3/2024,10/15/2024,8/11/2025,Lease agreement for House in NY for 10 months. Condition: Good.
490,12/22/2024,1/8/2025,8/6/2025,Lease agreement for Office in IL for 7 months. Condition: Fair.
491,7/22/2022,7/25/2022,9/18/2023,Lease agreement for Apartment in NY for 14 months. Condition: Good.
492,8/28/2024,9/12/2024,12/31/2026,Lease agreement for Villa in CA for 28 months. Condition: Fair.
493,2/4/2021,2/19/2021,8/8/2023,Lease agreement for Office in CA for 30 months. Condition: Fair.
494,6/2/2023,6/23/2023,4/18/2024,Lease agreement for Studio in CA for 10 months. Condition: Poor.
495,12/7/2024,12/13/2024,11/3/2026,Lease agreement for Office in IL for 23 months. Condition: Fair.
496,7/3/2023,7/5/2023,6/24/2025,Lease agreement for Office in TX for 24 months. Condition: Poor.
497,9/16/2024,10/9/2024,8/5/2025,Lease agreement for Office in IL for 10 months. Condition: Fair.
498,10/17/2024,11/8/2024,3/28/2027,Lease agreement for Villa in TX for 29 months. Condition: Fair.
499,1/6/2023,1/30/2023,1/19/2025,Lease agreement for House in CA for 24 months. Condition: Fair.
500,4/5/2020,4/13/2020,7/2/2022,Lease agreement for Villa in CA for 27 months. Condition: Fair.
501,8/15/2021,8/20/2021,2/16/2022,Lease agreement for Studio in NY for 6 months. Condition: Poor.
502,7/12/2024,8/2/2024,9/21/2026,Lease agreement for Studio in FL for 26 months. Condition: Good.
503,5/23/2024,6/19/2024,4/15/2025,Lease agreement for Apartment in TX for 10 months. Condition: Fair.
504,11/1/2022,11/12/2022,6/29/2025,Lease agreement for Office in CA for 32 months. Condition: Fair.
505,9/23/2024,10/1/2024,7/18/2027,Lease agreement for Studio in IL for 34 months. Condition: Good.
506,7/2/2024,7/12/2024,2/2/2026,Lease agreement for Apartment in IL for 19 months. Condition: Fair.
507,11/11/2024,12/3/2024,10/29/2025,Lease agreement for Villa in FL for 11 months. Condition: Fair.
508,5/17/2024,6/4/2024,9/22/2026,Lease agreement for House in IL for 28 months. Condition: Fair.
509,7/30/2022,8/12/2022,9/6/2023,Lease agreement for Apartment in NY for 13 months. Condition: Fair.
510,10/20/2024,11/2/2024,9/28/2025,Lease agreement for Studio in CA for 11 months. Condition: Poor.
511,5/26/2024,6/5/2024,11/27/2025,Lease agreement for Apartment in CA for 18 months. Condition: Good.
512,2/10/2022,2/11/2022,4/1/2024,Lease agreement for Studio in FL for 26 months. Condition: Good.
513,12/30/2024,1/28/2025,11/19/2026,Lease agreement for Studio in NY for 22 months. Condition: Fair.
514,12/29/2024,12/30/2024,1/19/2027,Lease agreement for Studio in TX for 25 months. Condition: Good.
515,5/17/2022,6/3/2022,9/26/2023,Lease agreement for Office in FL for 16 months. Condition: Fair.
516,11/27/2023,12/15/2023,10/10/2024,Lease agreement for Apartment in FL for 10 months. Condition: Good.
517,7/27/2024,8/14/2024,11/2/2026,Lease agreement for Apartment in TX for 27 months. Condition: Fair.
518,9/13/2024,10/8/2024,1/26/2027,Lease agreement for Villa in FL for 28 months. Condition: Good.
519,1/28/2024,2/12/2024,10/9/2024,Lease agreement for House in CA for 8 months. Condition: Fair.
520,8/27/2024,9/3/2024,1/21/2027,Lease agreement for House in FL for 29 months. Condition: Good.
521,8/29/2022,9/18/2022,2/4/2025,Lease agreement for Apartment in IL for 29 months. Condition: Good.
522,12/28/2024,1/7/2025,6/26/2027,Lease agreement for Office in FL for 30 months. Condition: Fair.
523,8/3/2024,9/2/2024,6/19/2027,Lease agreement for House in TX for 34 months. Condition: Good.
524,3/27/2022,4/14/2022,5/9/2023,Lease agreement for Studio in TX for 13 months. Condition: Good.
525,7/8/2023,7/18/2023,12/9/2024,Lease agreement for Studio in TX for 17 months. Condition: Good.
526,10/22/2024,11/10/2024,12/5/2025,Lease agreement for Office in TX for 13 months. Condition: Good.
527,10/4/2022,10/29/2022,12/17/2024,Lease agreement for House in CA for 26 months. Condition: Fair.
528,4/22/2023,5/19/2023,4/3/2026,Lease agreement for Apartment in NY for 35 months. Condition: Good.
529,12/12/2023,1/11/2024,10/7/2024,Lease agreement for Apartment in NY for 9 months. Condition: Good.
530,12/30/2023,1/1/2024,7/19/2026,Lease agreement for Office in CA for 31 months. Condition: Fair.
531,11/17/2024,11/22/2024,4/11/2027,Lease agreement for Studio in IL for 29 months. Condition: Fair.
532,9/3/2021,9/29/2021,5/22/2023,Lease agreement for Studio in NY for 20 months. Condition: Good.
533,5/21/2024,6/20/2024,5/11/2026,Lease agreement for Office in CA for 23 months. Condition: Good.
534,4/10/2024,5/9/2024,3/25/2027,Lease agreement for House in FL for 35 months. Condition: Good.
535,12/17/2023,1/7/2024,9/3/2024,Lease agreement for Office in IL for 8 months. Condition: Good.
536,4/7/2024,4/10/2024,3/26/2027,Lease agreement for Studio in IL for 36 months. Condition: Good.
537,12/15/2023,12/29/2023,11/23/2024,Lease agreement for Villa in CA for 11 months. Condition: Fair.
538,9/17/2024,10/15/2024,5/8/2026,Lease agreement for Office in TX for 19 months. Condition: Good.
539,7/17/2021,8/10/2021,7/1/2023,Lease agreement for Apartment in FL for 23 months. Condition: Good.
540,4/27/2023,5/5/2023,4/19/2026,Lease agreement for Villa in CA for 36 months. Condition: Good.
541,6/18/2022,7/9/2022,6/4/2023,Lease agreement for Apartment in FL for 11 months. Condition: Good.
542,11/15/2023,12/1/2023,10/26/2024,Lease agreement for House in FL for 11 months. Condition: Poor.
543,5/2/2024,5/16/2024,8/9/2025,Lease agreement for Office in FL for 15 months. Condition: Poor.
544,11/20/2024,11/28/2024,3/23/2026,Lease agreement for House in FL for 16 months. Condition: Good.
545,10/6/2023,10/9/2023,1/31/2025,Lease agreement for Villa in FL for 16 months. Condition: Good.
546,10/26/2023,11/24/2023,9/9/2026,Lease agreement for Villa in FL for 34 months. Condition: Poor.
547,3/24/2023,4/8/2023,6/26/2025,Lease agreement for Office in FL for 27 months. Condition: Poor.
548,4/25/2023,5/8/2023,12/28/2024,Lease agreement for Villa in CA for 20 months. Condition: Fair.
549,11/30/2022,12/27/2022,10/12/2025,Lease agreement for Villa in FL for 34 months. Condition: Good.
550,12/8/2024,1/4/2025,2/28/2026,Lease agreement for Villa in TX for 14 months. Condition: Fair.
551,6/6/2023,6/19/2023,2/3/2026,Lease agreement for Studio in CA for 32 months. Condition: Good.
552,9/25/2023,9/26/2023,6/17/2025,Lease agreement for Office in FL for 21 months. Condition: Fair.
553,7/25/2022,8/5/2022,5/21/2025,Lease agreement for Studio in NY for 34 months. Condition: Fair.
554,10/11/2024,11/1/2024,6/24/2026,Lease agreement for Apartment in FL for 20 months. Condition: Good.
555,8/18/2022,9/11/2022,3/4/2024,Lease agreement for Villa in CA for 18 months. Condition: Poor.
556,9/19/2023,10/15/2023,7/6/2025,Lease agreement for House in NY for 21 months. Condition: Poor.
557,7/2/2023,7/22/2023,10/9/2025,Lease agreement for Apartment in IL for 27 months. Condition: Good.
558,3/31/2024,4/15/2024,3/1/2027,Lease agreement for Office in NY for 35 months. Condition: Good.
